,title,score,review
0,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '보면서 계속 심장뛰는 영화', 10]"
1,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '미친 영화….. 너무 감동 ㅎㅎ', 10]"
2,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '관객들이 몰입할 준비를 하고 왔다는게 너무 놀랐어요. 솔솔솔 소리날 땐 숨도 안 쉬는 듯, 잘 봤다뿅, ㅋㅋ', 10]"
3,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '그냥 미쳣음 피가 끓는영화', 10]"
4,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '작화, OST 모두 뛰어남', 10]"
5,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '내 마음에 깊은 파동의 슬램덩크', 10]"
6,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '첨본다는게 믿기지 않네 ㅋㅋ', 10]"
7,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '감동 포인트 마다 뭉글한 감동이 있었습니다.', 10]"
8,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '넘 재밌음혼을 쏙 빼네요', 10]"
9,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', 'ㅠㅠ 진짜 말이 필요없는.. 숨죽이며 봤네요..', 10]"
10,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '3D의 어색함 없이 원작의 감동을 그대로', 10]"
11,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '영화관에서 4번 울었다...이 시대에 벌수있어서 감사합니다', 10]"
12,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '눈물은 안나는데 뭉클하고 가슴뛰더라', 10]"
13,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '이게 농놀이야.,.,.,..', 10]"
14,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '마치 옛친구를 다시 만나 오랜만에 다시 생생하게 곱씹어보는 그때의 그 추억. 감동.', 9]"
15,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '40대 중반 나이에 애니메이션 본다고 눈총받았지만 후회없는 선택이었다 ', 10]"
16,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '훌륭하다 거의 완벽한 극장판', 10]"
17,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '좀 지루하던데.. 나만 그런가?', 4]"
18,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '진짜 몰입감 쩔고 감동도 쩔고 만화책으로 몇번이고 다시봤던 산왕전을 애니로 볼 수 있어서 너무 행복했습니다.', 10]"
19,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '옛날에 서태웅 좋아할때 친구가 하도 모라 그래서 ㅋ 서태웅 좋아한다고 말도 못했는데...아마 완성형 인간형에 대한 질투ㅋ?였을까??성장하는 강백호가 좋치, 서태웅은 재섭다며ㅜㅠ 근데 대형화면에...늘 가늘다고 생각한 이미지의 서태웅이 연필로 그려지면서 어슬렁 어슬렁 걸어나오는데 헉 그때 떨어진 심장이 어느 영화관에 있는지...다시 주으러 (주섬주섬) 가야겠다 ', 10]"
20,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '지렸다 지렸다 지렸다 지렸다 ', 10]"
21,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '클래스는 영원하다 감동했음', 10]"
22,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '언제적이야 ~ ㅋㅋㅋ~', 1]"
23,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '불알이 요동칠정도로 웅장한 감동', 10]"
24,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '&amp;#39;무슨 슬램덩크야 ㅡㅡ&amp;#39; 라고 심드렁해 하는 20대중반 예비신부랑 같이 보았음 보기 전부터 궁금했음 어떤 내용일까 어떤식으로 연출 했을까 등등. 만화책n독 하신분들 아시겠지만 산왕전 마지막 30초?! 정도 대사 없이 빠르게 진행 하는데 그것을 어떻게 연출했을까 아니나 다를까, 다크나이트에서 조커가 하비덴트 죽이려는 그 지하터널씬 만큼이나 흡입력이 끝내줬다. 중간중간 만화처럼 흑백으로 처리한 씬도 있었고, 모든 슬램덩크 팬들의 염원이었던 마지막 하이파이브씬을 동영상으로 보았을때의 희열이란... ', 10]"
25,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '원작 만화에 대한 지식이 더 많았더라면 더 짜릿했을 것 같다', 7]"
26,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '진짜 존나 개쩜 슬램덩크 내용 모르고 봐도 개꿀잼', 10]"
27,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '퀄리티 좋은 버젼으로 보니 멋지네요... 만화책 안 보신 분들은 예습하시고 가시는 걸 추천...', 10]"
28,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '혼자 영화보기 처음인데.. 캐릭터중 송태섭을 좋아하는데.. 송태섭이 주인공이라 더 좋았음.. 이제 모레면 50인데.. 감동이구나', 10]"
29,더 퍼스트 슬램덩크,10,"['더 퍼스트 슬램덩크', '별점도 높고 후기좋아서 엄청 기대하며 봤어요. 처음 슬램덩크 보는 사람들은 재밌게 봤을꺼같은데.. 저는 좀 실망했어요. 특히나 성우 바뀐부분에서 이건 아니다 싶었어요. 내가 아는 강백호는 이목소리가 아닌데.. 이런느낌이랄까요. 예전 슬램덩크로 다니 돌려내~~ ㅠㅠ ', 6]"
